feature_name,feature_group,mutual_information,redundancy_penalty,final_score,selected_flag,selection_frequency
realized_vol_21d,realized_volatility,0.17948505382830326,0.0798719781806899,0.09961307564761336,True,1.0
realized_vol_63d,realized_volatility,0.14924883966121616,0.07550997508980849,0.07373886457140767,True,1.0
realized_vol_126d,realized_volatility,0.13730900642550647,0.06823182210080762,0.06907718432469885,True,1.0
return_1m,price_momentum,0.056541739878484876,0.046592166327507956,0.00994957355097692,True,1.0
max_drawdown_6m,price_momentum,0.09658426004298981,0.09673578430670515,-0.00015152426371534133,True,1.0
volume_change_3m,realized_volatility,0.0006244618729320806,0.020815326707759697,-0.020190864834827616,True,1.0
momentum_12m_minus_1m,price_momentum,0.04658228873385273,0.06822236519049367,-0.02164007645664094,True,1.0
return_3m,price_momentum,0.05514068072278988,0.0782561725920572,-0.023115491869267313,True,1.0
dollar_volume,realized_volatility,0.007948122855525597,0.034158668751649655,-0.02621054589612406,True,1.0
return_12m,price_momentum,0.016100629727191063,0.07952774443584373,-0.06342711470865267,True,1.0
return_6m,price_momentum,0.02564403949616967,0.08989880224910861,-0.06425476275293894,True,1.0
price_above_200d_ma,other,0.018098787656198434,0.08309277038267783,-0.0649939827264794,True,1.0
